2026-01-14 11:38:38.507 | INFO     | ReportEngine.agent:__init__:144 - 使用LLM: {'provider': 'qwen-long-latest', 'model': 'qwen-long-latest', 'api_base': 'https://dashscope.aliyuncs.com/compatible-mode/v1'}
2026-01-14 11:38:38.507 | INFO     | ReportEngine.flask_interface:initialize_report_engine:32 - Report Engine初始化成功
2026-01-14 12:10:17.790 | INFO     | ForumEngine.monitor:monitor_logs:621 - ForumEngine: 在media中检测到第一次论坛发表内容
2026-01-14 12:10:17.793 | INFO     | ForumEngine.monitor:clear_forum_log:91 - ForumEngine: forum.log 已清空并初始化
2026-01-14 12:17:11.351 | INFO     | ForumEngine.monitor:_trigger_host_speech:539 - ForumEngine: 正在生成主持人发言...
2026-01-14 12:17:18.526 | ERROR    | ForumEngine.monitor:_trigger_host_speech:552 - ForumEngine: 主持人发言生成失败
2026-01-14 12:18:47.946 | INFO     | ForumEngine.monitor:_trigger_host_speech:539 - ForumEngine: 正在生成主持人发言...
2026-01-14 12:18:54.772 | ERROR    | ForumEngine.monitor:_trigger_host_speech:552 - ForumEngine: 主持人发言生成失败
2026-01-14 12:20:30.233 | INFO     | ForumEngine.monitor:_trigger_host_speech:539 - ForumEngine: 正在生成主持人发言...
2026-01-14 12:20:33.033 | ERROR    | ForumEngine.monitor:_trigger_host_speech:552 - ForumEngine: 主持人发言生成失败
2026-01-14 12:22:40.627 | INFO     | ForumEngine.monitor:_trigger_host_speech:539 - ForumEngine: 正在生成主持人发言...
2026-01-14 12:22:43.273 | ERROR    | ForumEngine.monitor:_trigger_host_speech:552 - ForumEngine: 主持人发言生成失败
2026-01-14 12:24:06.796 | INFO     | ForumEngine.monitor:_trigger_host_speech:539 - ForumEngine: 正在生成主持人发言...
2026-01-14 12:24:10.914 | ERROR    | ForumEngine.monitor:_trigger_host_speech:552 - ForumEngine: 主持人发言生成失败
2026-01-14 12:25:27.413 | INFO     | ForumEngine.monitor:_trigger_host_speech:539 - ForumEngine: 正在生成主持人发言...
2026-01-14 12:25:31.561 | ERROR    | ForumEngine.monitor:_trigger_host_speech:552 - ForumEngine: 主持人发言生成失败
2026-01-14 12:26:57.148 | INFO     | ForumEngine.monitor:_trigger_host_speech:539 - ForumEngine: 正在生成主持人发言...
2026-01-14 12:26:59.631 | ERROR    | ForumEngine.monitor:_trigger_host_speech:552 - ForumEngine: 主持人发言生成失败
2026-01-14 13:46:04.917 | INFO     | ReportEngine.agent:initialize_baseline:62 - 文件数量基准已初始化: {'insight': 3, 'media': 3, 'query': 3}
2026-01-14 13:46:04.918 | INFO     | ReportEngine.agent:__init__:143 - Report Agent已初始化
2026-01-14 13:46:04.918 | INFO     | ReportEngine.agent:__init__:144 - 使用LLM: {'provider': 'qwen-long-latest', 'model': 'qwen-long-latest', 'api_base': 'https://dashscope.aliyuncs.com/compatible-mode/v1'}
2026-01-14 13:46:04.918 | INFO     | ReportEngine.flask_interface:initialize_report_engine:32 - Report Engine初始化成功
2026-01-14 13:49:44.572 | INFO     | __main__:stop_forum_engine:420 - ForumEngine: 停止论坛...
2026-01-14 13:49:44.912 | INFO     | ForumEngine.monitor:monitor_logs:702 - ForumEngine: 停止论坛日志文件
2026-01-14 13:50:18.822 | INFO     | ReportEngine.agent:initialize_baseline:62 - 文件数量基准已初始化: {'insight': 3, 'media': 3, 'query': 3}
2026-01-14 13:50:18.823 | INFO     | ReportEngine.agent:__init__:143 - Report Agent已初始化
2026-01-14 13:50:18.824 | INFO     | ReportEngine.agent:__init__:144 - 使用LLM: {'provider': 'qwen-long-latest', 'model': 'qwen-long-latest', 'api_base': 'https://dashscope.aliyuncs.com/compatible-mode/v1'}
2026-01-14 13:50:18.824 | INFO     | ReportEngine.flask_interface:initialize_report_engine:32 - Report Engine初始化成功
2026-01-14 14:07:27.599 | INFO     | __main__:stop_forum_engine:435 - ForumEngine: 停止论坛...
2026-01-14 14:07:28.036 | INFO     | ForumEngine.monitor:monitor_logs:702 - ForumEngine: 停止论坛日志文件
2026-01-14 14:07:58.991 | INFO     | __main__:stop_forum_engine:435 - ForumEngine: 停止论坛...
2026-01-14 14:07:59.103 | INFO     | ReportEngine.agent:initialize_baseline:62 - 文件数量基准已初始化: {'insight': 3, 'media': 3, 'query': 3}
2026-01-14 14:07:59.103 | INFO     | ReportEngine.agent:__init__:143 - Report Agent已初始化
2026-01-14 14:07:59.103 | INFO     | ReportEngine.agent:__init__:144 - 使用LLM: {'provider': 'qwen-long-latest', 'model': 'qwen-long-latest', 'api_base': 'https://dashscope.aliyuncs.com/compatible-mode/v1'}
